time,dt,x,y,z,yaw,pitch,roll
1683031420864654080.00000000000000000000,0.00999999977648258209,-0.00189812690950930119,-0.00050751469098031521,-0.09826298058032989502,-0.00008293873447723099,-0.00001580191281627079,-0.00001537616911408273
1683031420874653952.00000000000000000000,0.00999999977648258209,-0.00195154722314327955,-0.00055181700736284256,-0.09842210263013839722,-0.00008674788869934948,-0.00001359693157312603,-0.00001441511016148484
1683031420884653056.00000000000000000000,0.00999899953603744507,-0.00184868357609957457,-0.00047410905244760215,-0.09826483577489852905,-0.00008691503521722840,-0.00000619237730244963,-0.00001234172347914682
1683031420894653952.00000000000000000000,0.01000100001692771912,-0.00195688451640307903,-0.00059100741054862738,-0.09825915098190307617,-0.00008272126357742526,-0.00002011772433317547,-0.00001164966163612017
1683031420904654080.00000000000000000000,0.00999999977648258209,-0.00192494736984372139,-0.00061514478875324130,-0.09821873903274536133,-0.00008259824842160422,-0.00000298496928833320,-0.00002710757942520461
1683031420914653952.00000000000000000000,0.00999999977648258209,-0.00193015870172530413,-0.00040384181193076074,-0.09812071919441223145,-0.00007363530695213149,-0.00001102859500429729,-0.00001440117993044115
1683031420924654080.00000000000000000000,0.00999999977648258209,-0.00197363458573818207,-0.00069688732037320733,-0.09832789748907089233,-0.00008614165544730117,-0.00000755609074150882,-0.00002118743644653428
1683031420934653952.00000000000000000000,0.00999999977648258209,-0.00194652983918786049,-0.00050758104771375656,-0.09842950850725173950,-0.00007848895217355608,-0.00001126654066172076,-0.00001521195148010833
1683031420944654080.00000000000000000000,0.00999999977648258209,-0.00182397768367081881,-0.00033804296981543303,-0.09851362556219100952,-0.00008383928246485986,-0.00001117910692451656,-0.00001631261243816629
1683031420954653952.00000000000000000000,0.00999999977648258209,-0.00193639670033007860,-0.00041555232019163668,-0.09839776158332824707,-0.00008739971623153494,-0.00001424444552880833,-0.00001557627090944315
1683031420964653056.00000000000000000000,0.00999899953603744507,-0.00182197662070393562,-0.00040114915464073420,-0.09836903959512710571,-0.00008287608094682503,-0.00000137590937564033,-0.00002099739526071481
1683031420974653952.00000000000000000000,0.01000100001692771912,-0.00205095391720533371,-0.00033280125353485346,-0.09859781712293624878,-0.00007586809379793565,-0.00000939155411656069,-0.00001993548334528143
1683031420984654080.00000000000000000000,0.00999999977648258209,-0.00191561679821461439,-0.00047198703396134079,-0.09842077642679214478,-0.00007753175674696891,0.00000506059885774726,-0.00001821974051262626
1683031420994652928.00000000000000000000,0.00999899953603744507,-0.00193243846297264099,-0.00034938738099299371,-0.09824038296937942505,-0.00008019747794368687,-0.00000742202953827398,-0.00002430718036464479
1683031421004654080.00000000000000000000,0.01000100001692771912,-0.00193027511704713106,-0.00047326582716777921,-0.09854656457901000977,-0.00007801833142745583,-0.00001613772566136657,-0.00001746611623226112
1683031421014653952.00000000000000000000,0.00999999977648258209,-0.00196175836026668549,-0.00055281037930399179,-0.09841366112232208252,-0.00006915314539496880,-0.00001296609691537804,-0.00002370882858374853
1683031421024654080.00000000000000000000,0.00999999977648258209,-0.00195823842659592628,-0.00038028680137358606,-0.09824117273092269897,-0.00008102362841966235,-0.00001516322513300007,-0.00001967875747701537
1683031421034653952.00000000000000000000,0.00999999977648258209,-0.00188616896048188210,-0.00036865123547613621,-0.09841767698526382446,-0.00008404975573985310,-0.00001087479862980700,-0.00001306643176139378
1683031421044654080.00000000000000000000,0.00999999977648258209,-0.00208842288702726364,-0.00050072261365130544,-0.09840571880340576172,-0.00007163181626060711,-0.00000788699011209739,-0.00001589810069589794
1683031421054653952.00000000000000000000,0.00999999977648258209,-0.00186973763629794121,-0.00049788161413744092,-0.09843415021896362305,-0.00007715182879446057,0.00000032747792648439,-0.00001195238002333386
1683031421064654080.00000000000000000000,0.00999999977648258209,-0.00190874957479536533,-0.00044110807357355952,-0.09856756031513214111,-0.00008776911117387256,-0.00000667080332605197,-0.00001852743282130946
1683031421074652928.00000000000000000000,0.00999899953603744507,-0.00187690998427569866,-0.00051045982399955392,-0.09836724400520324707,-0.00008019660832016197,-0.00001429004895218348,-0.00001390025239813208
1683031421084654080.00000000000000000000,0.01000100001692771912,-0.00184340402483940125,-0.00040029425872489810,-0.09845333546400070190,-0.00008040686215744331,-0.00000880932186425035,-0.00002147513147780616
1683031421094653952.00000000000000000000,0.00999999977648258209,-0.00181646773125976324,-0.00044678914127871394,-0.09862392395734786987,-0.00007920895168823540,-0.00000068037519750079,-0.00002182530327021607
1683031421104654080.00000000000000000000,0.00999999977648258209,-0.00194652937352657318,-0.00041202845750376582,-0.09855551272630691528,-0.00007589781541691277,-0.00001692597335218970,-0.00002631644551892093
1683031421114653952.00000000000000000000,0.00999999977648258209,-0.00202981987968087196,-0.00050957262283191085,-0.09827974438667297363,-0.00007878050361943136,-0.00000242771356845918,-0.00001849254222511894
1683031421124654080.00000000000000000000,0.00999999977648258209,-0.00188140664249658585,-0.00055930513190105557,-0.09816670417785644531,-0.00008206428332267171,-0.00000861644119507564,-0.00001107550794253646
1683031421134653952.00000000000000000000,0.00999999977648258209,-0.00189448497258126736,-0.00040192241431213915,-0.09849416464567184448,-0.00007964324330203384,-0.00001564844864609433,-0.00002040605329561504
1683031421144654080.00000000000000000000,0.00999999977648258209,-0.00209216796793043613,-0.00048620751476846635,-0.09843073040246963501,-0.00008016832523729614,-0.00000773056708851408,-0.00001710029934372570
1683031421154652928.00000000000000000000,0.00999899953603744507,-0.00175823946483433247,-0.00043412245577201247,-0.09837167710065841675,-0.00008453716753457426,-0.00000790178031547031,-0.00001405428446497959
