time,x,y,z,yaw,pitch,roll
1683031421152728832.00000000000000000000,46.34996101745406349437,63.59567142109384718651,31.05331645856273325990,-149.22750580501593731242,0.00000000000000000000,0.00000000000000000000
1683031421258021120.00000000000000000000,47.44295901860486708301,63.15267641081317151475,30.14679397107193281613,-152.08695806776643166813,0.00000000000000000000,0.00000000000000000000
1683031421383142400.00000000000000000000,46.03730898850762542907,60.60483823020135929482,29.76516066153236650393,-152.17514233337959694836,0.00000000000000000000,0.00000000000000000000
1683031421517608448.00000000000000000000,47.54118334428807912673,61.41477935889996331298,28.00437940645497292280,-151.06538249593273803839,0.00000000000000000000,0.00000000000000000000
1683031421641423872.00000000000000000000,46.53532583302049374652,61.79803517872248619369,29.17520570522827938476,-152.83538707103249976171,0.00000000000000000000,0.00000000000000000000
1683031421753844992.00000000000000000000,46.86704726997048453541,63.02513515431344615081,31.22771909843474347213,-150.63729427597715471165,0.00000000000000000000,0.00000000000000000000
1683031421865610752.00000000000000000000,46.57346306214488151909,63.82164790597700232411,31.08946957065347049820,-149.27968752044836264758,0.00000000000000000000,0.00000000000000000000
1683031421967670016.00000000000000000000,47.25641832375028172919,62.21608968325026722823,29.36414544963175288217,-152.72599298532273337514,0.00000000000000000000,0.00000000000000000000
1683031422092645376.00000000000000000000,46.59853455885524198266,61.24698269308893117113,28.71931180980505615707,-150.53421070481735455360,0.00000000000000000000,0.00000000000000000000
1683031422233261056.00000000000000000000,46.06365071542380462688,62.37943284455942460909,28.15787122192554647881,-152.00488397517341354614,0.00000000000000000000,0.00000000000000000000
1683031422350793472.00000000000000000000,44.39653548083960288295,61.28983983778182675906,26.11936789172314021812,-150.08915585755212873664,0.00000000000000000000,0.00000000000000000000
1683031422478844416.00000000000000000000,44.53242828014312237883,62.89460893995158841108,30.06773666944645739818,-150.87303165795623272061,0.00000000000000000000,0.00000000000000000000
1683031422579180288.00000000000000000000,45.67658395535554660682,63.35952067178131130731,30.76925569743407606893,-150.94375818467679550849,0.00000000000000000000,0.00000000000000000000
1683031422711615744.00000000000000000000,46.94436301470854999707,63.16503026912206308907,29.85156632055075931476,-150.58121488582750657770,0.00000000000000000000,0.00000000000000000000
1683031422848580352.00000000000000000000,47.06932628148575048499,63.52404179865612832145,30.91036126582002907526,-151.26039190961137137492,0.00000000000000000000,0.00000000000000000000
1683031422958526976.00000000000000000000,44.54282316854486367674,63.03905597116298054061,27.91459779403906793505,-151.82983820926315843280,0.00000000000000000000,0.00000000000000000000
1683031423082197248.00000000000000000000,47.73338917663258484936,62.08360635392929793852,27.57679302926050013411,-150.01772545173042772149,0.00000000000000000000,0.00000000000000000000
1683031423184078848.00000000000000000000,45.73389433954092453405,61.47248661672668390565,30.64407844885019471803,-151.49366183537003394122,0.00000000000000000000,0.00000000000000000000
1683031423327230976.00000000000000000000,46.79751432767321972506,62.28783325189592545712,29.89437275189908405082,-151.21988129502321385189,0.00000000000000000000,0.00000000000000000000
1683031423462147328.00000000000000000000,45.92271404967601711178,60.52654999587405626471,28.13835643825805377105,-152.46124767263822263885,0.00000000000000000000,0.00000000000000000000
1683031423579704320.00000000000000000000,44.13426459297373583013,62.17247870203744497530,28.57023961441793957761,-152.78112255103388861244,0.00000000000000000000,0.00000000000000000000
1683031423712748032.00000000000000000000,44.34128077854474270225,60.33223528039192018468,30.18363974882954892109,-152.31307884480446546149,0.00000000000000000000,0.00000000000000000000
1683031423820878336.00000000000000000000,46.79314678475947175684,63.71282227698633704449,27.79174175091340259769,-151.23073321260918078224,0.00000000000000000000,0.00000000000000000000
1683031423936136448.00000000000000000000,44.21575526988000603978,62.34187080193609631351,27.97017763905122222923,-152.25302022553216829692,0.00000000000000000000,0.00000000000000000000
1683031424054707456.00000000000000000000,45.68426464169360201595,63.45822528007742846512,28.96983735824272798709,-150.30087553279196299627,0.00000000000000000000,0.00000000000000000000
1683031424169344768.00000000000000000000,47.60028908040778361510,63.45151340894702940432,30.60997056913031144632,-152.54074008073695267740,0.00000000000000000000,0.00000000000000000000
1683031424302506752.00000000000000000000,44.36112424245065710693,61.97214824212378658785,31.52273949385265439105,-152.44395046353520228877,0.00000000000000000000,0.00000000000000000000
1683031424441521408.00000000000000000000,47.44690759081941422437,63.34852813438536145441,30.03287753388557135281,-151.91050082116126418441,0.00000000000000000000,0.00000000000000000000
1683031424561880320.00000000000000000000,47.32613380114769796592,63.28471710788954140980,30.14596532287077934598,-149.60089751474760078054,0.00000000000000000000,0.00000000000000000000
1683031424692953088.00000000000000000000,46.48484626477181791415,61.95839357750136855429,30.52545146263548403454,-151.66232293582717716163,0.00000000000000000000,0.00000000000000000000
1683031424809228800.00000000000000000000,45.47011495027665262114,62.81274166946778336751,28.23912496531286109303,-149.47247288656896557768,0.00000000000000000000,0.00000000000000000000
1683031424916135424.00000000000000000000,44.93179229312688960363,62.47299142519607073609,28.51185036155398933033,-151.37364491276233025019,0.00000000000000000000,0.00000000000000000000
1683031425052056576.00000000000000000000,47.92111150909084926752,61.12641050401771281031,29.66433074486089083166,-149.68249354975441178794,0.00000000000000000000,0.00000000000000000000
1683031425155413248.00000000000000000000,46.99833355077485208540,63.09660986992481923608,28.57680525152495576435,-153.10493891819842815494,0.00000000000000000000,0.00000000000000000000
1683031425303175168.00000000000000000000,44.65607810003250222053,61.65955537511403150575,30.45152820070330790259,-151.51106122435911061075,0.00000000000000000000,0.00000000000000000000
1683031425420560896.00000000000000000000,44.42436812735350315506,63.19814920821458770206,29.85848944030134788363,-150.60270250961482929597,0.00000000000000000000,0.00000000000000000000
1683031425517044992.00000000000000000000,45.06217795499777167834,60.53775479705974049693,28.08343214128942122443,-152.38446032812927910527,0.00000000000000000000,0.00000000000000000000
1683031425683962880.00000000000000000000,45.67467255772027812100,61.99916512101241750088,28.36609972709432625493,-150.75157051923440576502,0.00000000000000000000,0.00000000000000000000
1683031425776826624.00000000000000000000,46.62444745503704268685,61.60744040640279450827,29.13964859868126922038,-149.74085947599431278832,0.00000000000000000000,0.00000000000000000000
1683031425909925888.00000000000000000000,46.20102620282274585861,60.17824421388642974762,31.32756892052071862054,-153.06590124126611840438,0.00000000000000000000,0.00000000000000000000
1683031426046806528.00000000000000000000,44.82641832013300842164,60.38298876304845919094,28.52284427689045287480,-151.52787616136987480786,0.00000000000000000000,0.00000000000000000000
